model,Price,Rating,SIM,RAM,Processor,Display,Camera,OS,SIM_Type,Supports_3G,Supports_4G,Supports_5G,VoLTE,WiFi,NFC,IR_Blaster,RAM_GB,Storage_GB,Chipset,Cores,ClockSpeed_GHz,Core_Word,Display_Size,Resolution,RefreshRate_Hz,Rear_Main_MP,Front_MP,Resolution_Width,Resolution_Height,Card_Support,Card_Capacity_GB,OS_Name,OS_Version
Motorola Moto G86 Power 5G,17999,85.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","8 GB RAM, 128 GB inbuilt","Dimensity 7400, Octa Core, 2.6 GHz Processor","6.7 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 32 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,1,0,8,128,Dimensity 7400,8.0,2.6,Octa,6.7,1220 x 2712,120.0,50.0,32.0,1220.0,2712.0,Yes,1,Android,15.0
Xiaomi Redmi Note 14 SE 5G,14999,81.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","6 GB RAM, 128 GB inbuilt","Dimensity 7025 Ultra, Octa Core, 2.5 GHz Processor","6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 20 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,1,1,6,128,Dimensity 7025 Ultra,8.0,2.5,Octa,6.67,1080 x 2400,120.0,50.0,20.0,1080.0,2400.0,Yes,1,Android,15.0
Vivo T4R 5G,19499,80.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi","8 GB RAM, 128 GB inbuilt","Dimensity 7400, Octa Core, 2.6 GHz Processor","6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 32 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,0,0,8,128,Dimensity 7400,8.0,2.6,Octa,6.77,1080 x 2392,120.0,50.0,32.0,1080.0,2392.0,No,0,Android,15.0
OnePlus Nord CE 5 5G,24998,83.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","8 GB RAM, 128 GB inbuilt","Dimensity 8350 Apex, Octa Core, 3.35 GHz Processor","6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,0,1,8,128,Dimensity 8350 Apex,8.0,3.35,Octa,6.77,1080 x 2392,120.0,50.0,16.0,1080.0,2392.0,Yes,1,Android,15.0
Vivo X200 FE,50750,89.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","12 GB RAM, 256 GB inbuilt","Dimensity 9300 Plus, Octa Core, 3.25 GHz Processor","6.31 inches, 1216 x 2640 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 50 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,1,1,12,256,Dimensity 9300 Plus,8.0,3.25,Octa,6.31,1216 x 2640,120.0,50.0,50.0,1216.0,2640.0,No,0,Android,15.0
Motorola Moto G96 5G,17849,80.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Snapdragon 7s Gen2, Octa Core, 2.4 GHz Processor","6.67 inches, 1080 x 2400 px, 144 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 32 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,0,0,8,128,Snapdragon 7s Gen2,8.0,2.4,Octa,6.67,1080 x 2400,144.0,50.0,32.0,1080.0,2400.0,No,0,Android,15.0
OPPO Reno 14 5G,37998,86.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","8 GB RAM, 256 GB inbuilt","Dimensity 8350, Octa Core, 3.35 GHz Processor","6.59 inches, 1256 x 2760 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 50 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,0,1,8,256,Dimensity 8350,8.0,3.35,Octa,6.59,1256 x 2760,120.0,50.0,50.0,1256.0,2760.0,Yes,15,No,14.0
iQOO Z10R,19498,80.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi","8 GB RAM, 128 GB inbuilt","Dimensity 7400, Octa Core, 2.6 GHz Processor","6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 32 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,0,0,8,128,Dimensity 7400,8.0,2.6,Octa,6.77,1080 x 2392,120.0,50.0,32.0,1080.0,2392.0,No,0,Android,15.0
Motorola Edge 60 Fusion,22228,84.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi","8 GB RAM, 256 GB inbuilt","Dimensity 7400, Octa Core, 2.5 GHz Processor","6.7 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",50 MP + 13 MP Dual Rear & 32 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,0,0,8,256,Dimensity 7400,8.0,2.5,Octa,6.7,1220 x 2712,120.0,50.0,32.0,1220.0,2712.0,Yes,1,Android,15.0
Vivo T4x 5G,13999,75.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","6 GB RAM, 128 GB inbuilt","Dimensity 7300, Octa Core, 2.5 GHz Processor","6.72 inches, 1080 x 2408 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,0,1,6,128,Dimensity 7300,8.0,2.5,Octa,6.72,1080 x 2408,120.0,50.0,8.0,1080.0,2408.0,No,0,Android,15.0
OnePlus Nord 5 5G,31999,84.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","8 GB RAM, 256 GB inbuilt","Snapdragon 8s Gen3, Octa Core, 3 GHz Processor","6.83 inches, 1272 x 2800 px, 144 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 50 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,1,1,8,256,Snapdragon 8s Gen3,8.0,3.0,Octa,6.83,1272 x 2800,144.0,50.0,50.0,1272.0,2800.0,Yes,15,No,14.0
Vivo Y400 5G,21999,79.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Snapdragon 4 Gen2, Octa Core, 2.2 GHz Processor","6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 32 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,0,0,8,128,Snapdragon 4 Gen2,8.0,2.2,Octa,6.67,1080 x 2400,120.0,50.0,32.0,1080.0,2400.0,Yes,15,No,14.0
Realme 15 Pro 5G,30918,84.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Snapdragon 7 Gen4, Octa Core, 2.8 GHz Processor","6.8 inches, 1280 x 2800 px, 144 Hz Display with Punch Hole",50 MP + 50 MP Dual Rear & 50 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,0,0,8,128,Snapdragon 7 Gen4,8.0,2.8,Octa,6.8,1280 x 2800,144.0,50.0,50.0,1280.0,2800.0,Yes,15,No,14.0
Samsung Galaxy S24 Ultra,80489,92.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","12 GB RAM, 256 GB inbuilt","Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor","6.8 inches, 1440 x 3120 px, 120 Hz Display with Punch Hole",200 MP Quad Rear & 12 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,1,0,12,256,Snapdragon 8 Gen3,8.0,3.3,Octa,6.8,1440 x 3120,120.0,200.0,12.0,1440.0,3120.0,No,0,Android,14.0
Infinix Zero 30 5G (12GB RAM + 256GB),14000,86.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","12 GB RAM, 256 GB inbuilt","Dimensity 8020, Octa Core, 2.6 GHz Processor","6.78 inches, 1080 x 2400 px, 144 Hz Display with Punch Hole",108 MP + 13 MP + 2 MP Triple Rear & 50 MP Front Camera,Bluetooth,Dual Sim,1,1,1,1,1,1,0,12,256,Dimensity 8020,8.0,2.6,Octa,6.78,1080 x 2400,144.0,108.0,50.0,1080.0,2400.0,Yes,13,Bluetooth,14.0
Vivo T4 5G,21649,79.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","8 GB RAM, 128 GB inbuilt","Snapdragon 7s Gen3, Octa Core, 2.5 GHz Processor","6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 32 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,0,1,8,128,Snapdragon 7s Gen3,8.0,2.5,Octa,6.77,1080 x 2392,120.0,50.0,32.0,1080.0,2392.0,No,0,Android,15.0
Motorola Edge 60 Pro,29390,80.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","8 GB RAM, 256 GB inbuilt","Dimensity 8350 Extreme, Octa Core, 3.35 GHz Processor","6.7 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 10 MP Triple Rear & 50 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,1,0,8,256,Dimensity 8350 Extreme,8.0,3.35,Octa,6.7,1220 x 2712,120.0,50.0,50.0,1220.0,2712.0,Yes,15,No,14.0
OPPO Reno 14 Pro 5G,49998,90.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","12 GB RAM, 256 GB inbuilt","Dimensity 8450, Octa Core, 3.25 GHz Processor","6.83 inches, 1272 x 2800 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 50 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,1,1,12,256,Dimensity 8450,8.0,3.25,Octa,6.83,1272 x 2800,120.0,50.0,50.0,1272.0,2800.0,Yes,15,No,14.0
iQOO Neo 10R,24998,81.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","8 GB RAM, 128 GB inbuilt","Snapdragon 8s Gen3, Octa Core, 3 GHz Processor","6.78 inches, 1260 x 2800 px, 144 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 32 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,0,1,8,128,Snapdragon 8s Gen3,8.0,3.0,Octa,6.78,1260 x 2800,144.0,50.0,32.0,1260.0,2800.0,Yes,15,No,14.0
Xiaomi Redmi Note 14,14701,82.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","6 GB RAM, 128 GB inbuilt","Dimensity 7025 Ultra, Octa Core, 2.5 GHz Processor","6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 20 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,1,1,6,128,Dimensity 7025 Ultra,8.0,2.5,Octa,6.67,1080 x 2400,120.0,50.0,20.0,1080.0,2400.0,Yes,1,Android,14.0
Vivo V50 5G,32999,83.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Snapdragon 7 Gen3, Octa Core, 2.63 GHz Processor","6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 50 MP Dual Rear & 50 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,0,0,8,128,Snapdragon 7 Gen3,8.0,2.63,Octa,6.77,1080 x 2392,120.0,50.0,50.0,1080.0,2392.0,No,0,Android,15.0
Oppo K13,17850,78.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","8 GB RAM, 128 GB inbuilt","Snapdragon 6 Gen4, Octa Core, 2.3 GHz Processor","6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 16 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,0,1,8,128,Snapdragon 6 Gen4,8.0,2.3,Octa,6.67,1080 x 2400,120.0,50.0,16.0,1080.0,2400.0,Yes,15,No,14.0
Samsung Galaxy S24 FE 5G,35495,84.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","8 GB RAM, 128 GB inbuilt","Exynos 2400e, Deca Core, 3.11 GHz Processor","6.7 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole",50 MP + 12 MP + 8 MP Triple Rear & 10 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,1,0,8,128,Exynos 2400e,10.0,3.11,Deca,6.7,1080 x 2340,120.0,50.0,10.0,1080.0,2340.0,No,0,Android,14.0
Vivo Y400 Pro 5G,24998,79.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","8 GB RAM, 128 GB inbuilt","Dimensity 7300, Octa Core, 2.5 GHz Processor","6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 32 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,0,1,8,128,Dimensity 7300,8.0,2.5,Octa,6.77,1080 x 2392,120.0,50.0,32.0,1080.0,2392.0,Yes,15,No,14.0
Samsung Galaxy F36 5G,17499,80.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","6 GB RAM, 128 GB inbuilt","Exynos 1380, Octa Core, 2.4 GHz Processor","6.7 inches, 1080 x 2340 px, 120 Hz Display with Water Drop Notch",50 MP + 8 MP + 2 MP Triple Rear & 13 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,1,0,6,128,Exynos 1380,8.0,2.4,Octa,6.7,1080 x 2340,120.0,50.0,13.0,1080.0,2340.0,Yes,2,Android,15.0
Poco M6 Plus 5G (8GB RAM + 128GB),10749,81.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","8 GB RAM, 128 GB inbuilt","Snapdragon 4 Gen2 AE, Octa Core, 2.3 GHz Processor","6.79 inches, 1080 x 2460 px, 120 Hz Display with Punch Hole",108 MP + 2 MP Dual Rear & 13 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,0,1,8,128,Snapdragon 4 Gen2 AE,8.0,2.3,Octa,6.79,1080 x 2460,120.0,108.0,13.0,1080.0,2460.0,Yes,1,Android,14.0
Motorola Moto G85 5G,15965,80.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Snapdragon 6s Gen3, Octa Core, 2.3 GHz Processor","6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 32 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,0,0,8,128,Snapdragon 6s Gen3,8.0,2.3,Octa,6.67,1080 x 2400,120.0,50.0,32.0,1080.0,2400.0,Yes,1,Android,14.0
Samsung Galaxy A55 5G,24999,84.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","8 GB RAM, 128 GB inbuilt","Exynos 1480, Octa Core, 2.7 GHz Processor","6.6 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole",50 MP + 12 MP + 5 MP Triple Rear & 32 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,1,0,8,128,Exynos 1480,8.0,2.7,Octa,6.6,1080 x 2340,120.0,50.0,32.0,1080.0,2340.0,Yes,1,Android,14.0
Realme 15 5G,24705,74.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Dimensity 7300 Plus, Octa Core Processor","6.8 inches, 1280 x 2800 px, 144 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 50 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,0,0,8,128,Dimensity 7300 Plus,8.0,,Octa,6.8,1280 x 2800,144.0,50.0,50.0,1280.0,2800.0,Yes,15,No,14.0
iQOO Neo 10,31998,83.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","8 GB RAM, 128 GB inbuilt","Snapdragon 8s Gen4, Octa Core, 3.2 GHz Processor","6.78 inches, 1260 x 2800 px, 144 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 32 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,1,1,8,128,Snapdragon 8s Gen4,8.0,3.2,Octa,6.78,1260 x 2800,144.0,50.0,32.0,1260.0,2800.0,Yes,15,No,14.0
Samsung Galaxy S25 Ultra,106500,93.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","12 GB RAM, 256 GB inbuilt","Snapdragon 8 Elite for Galaxy, Octa Core, 4.47 GHz Processor","6.9 inches, 1440 x 3120 px, 120 Hz Display with Punch Hole",200 MP Quad Rear & 12 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,1,0,12,256,Snapdragon 8 Elite for Galaxy,8.0,4.47,Octa,6.9,1440 x 3120,120.0,200.0,12.0,1440.0,3120.0,No,0,Android,15.0
OnePlus Nord CE 4 5G,19999,81.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","8 GB RAM, 128 GB inbuilt","Snapdragon 7 Gen3, Octa Core, 2.63 GHz Processor","6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,0,1,8,128,Snapdragon 7 Gen3,8.0,2.63,Octa,6.7,1080 x 2412,120.0,50.0,16.0,1080.0,2412.0,Yes,1,Android,14.0
Realme P3 5G,16470,79.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","6 GB RAM, 128 GB inbuilt","Snapdragon 6 Gen4, Octa Core, 2.3 GHz Processor","6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 16 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,1,0,6,128,Snapdragon 6 Gen4,8.0,2.3,Octa,6.67,1080 x 2400,120.0,50.0,16.0,1080.0,2400.0,Yes,15,No,14.0
OnePlus Nord CE 4 Lite 5G,16999,81.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Snapdragon 695, Octa Core, 2.2 GHz Processor","6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 16 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,0,0,8,128,Snapdragon 695,8.0,2.2,Octa,6.67,1080 x 2400,120.0,50.0,16.0,1080.0,2400.0,Yes,2,Android,14.0
Realme P3 Ultra,23887,81.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","8 GB RAM, 128 GB inbuilt","Dimensity 8350 Ultra, Octa Core, 3.35 GHz Processor","6.83 inches, 1272 x 2800 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,0,1,8,128,Dimensity 8350 Ultra,8.0,3.35,Octa,6.83,1272 x 2800,120.0,50.0,16.0,1272.0,2800.0,No,0,Android,15.0
Nothing Phone 3a,22800,83.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","8 GB RAM, 128 GB inbuilt","Snapdragon 7s Gen3, Octa Core, 2.5 GHz Processor","6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 32 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,1,0,8,128,Snapdragon 7s Gen3,8.0,2.5,Octa,6.77,1080 x 2392,120.0,50.0,32.0,1080.0,2392.0,Yes,15,No,14.0
Vivo T4 Lite 5G,10499,73.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","4 GB RAM, 128 GB inbuilt","Dimensity 6300, Octa Core, 2.4 GHz Processor","6.74 inches, 720 x 1600 px, 90 Hz Display with Water Drop Notch",50 MP + 2 MP Dual Rear & 5 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,0,0,4,128,Dimensity 6300,8.0,2.4,Octa,6.74,720 x 1600,90.0,50.0,5.0,720.0,1600.0,Yes,2,Android,15.0
Motorola Edge 60 5G,26492,88.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","12 GB RAM, 256 GB inbuilt","Dimensity 7400, Octa Core, 2.6 GHz Processor","6.7 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 10 MP Triple Rear & 50 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,1,0,12,256,Dimensity 7400,8.0,2.6,Octa,6.7,1220 x 2712,120.0,50.0,50.0,1220.0,2712.0,Yes,1,Android,15.0
iQOO Z10x,13498,74.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","6 GB RAM, 128 GB inbuilt","Dimensity 7300, Octa Core, 2.5 GHz Processor","6.72 inches, 1080 x 2408 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 8 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,0,1,6,128,Dimensity 7300,8.0,2.5,Octa,6.72,1080 x 2408,120.0,50.0,8.0,1080.0,2408.0,Yes,15,No,14.0
OPPO K13x 5G,11999,73.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","4 GB RAM, 128 GB inbuilt","Dimensity 6300, Octa Core, 2.4 GHz Processor","6.67 inches, 720 x 1604 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,0,0,4,128,Dimensity 6300,8.0,2.4,Octa,6.67,720 x 1604,120.0,50.0,8.0,720.0,1604.0,Yes,2,Android,15.0
OnePlus 13R 5G,39999,86.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","12 GB RAM, 256 GB inbuilt","Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor","6.78 inches, 1264 x 2780 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 16 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,1,1,12,256,Snapdragon 8 Gen3,8.0,3.3,Octa,6.78,1264 x 2780,120.0,50.0,16.0,1264.0,2780.0,No,0,Android,15.0
Motorola Edge 50 Fusion,18799,83.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","8 GB RAM, 128 GB inbuilt","Snapdragon 7s Gen2, Octa Core, 2.4 GHz Processor","6.67 inches, 1080 x 2400 px, 144 Hz Display with Punch Hole",50 MP + 13 MP Dual Rear & 32 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,1,0,8,128,Snapdragon 7s Gen2,8.0,2.4,Octa,6.67,1080 x 2400,144.0,50.0,32.0,1080.0,2400.0,No,0,Android,14.0
Vivo T4R 5G (8GB RAM + 256GB),21499,81.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi","8 GB RAM, 256 GB inbuilt","Dimensity 7400, Octa Core, 2.6 GHz Processor","6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 32 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,0,0,8,256,Dimensity 7400,8.0,2.6,Octa,6.77,1080 x 2392,120.0,50.0,32.0,1080.0,2392.0,No,0,Android,15.0
OnePlus 13s 5G,54998,87.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","12 GB RAM, 256 GB inbuilt","Snapdragon 8 Elite, Octa Core, 4.32 GHz Processor","6.32 inches, 1216 x 2640 px, 120 Hz Display with Punch Hole",50 MP + 50 MP Dual Rear & 32 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,1,1,12,256,Snapdragon 8 Elite,8.0,4.32,Octa,6.32,1216 x 2640,120.0,50.0,32.0,1216.0,2640.0,No,0,Android,15.0
Ai+ Pulse,4999,68.0,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","4 GB RAM, 64 GB inbuilt","Unisoc T615, Octa Core, 1.8 GHz Processor","6.75 inches, 720 x 1600 px, 90 Hz Display with Water Drop Notch",50 MP Rear & 5 MP Front Camera,Android v15,Dual Sim,1,1,0,1,1,0,0,4,64,Unisoc T615,8.0,1.8,Octa,6.75,720 x 1600,90.0,50.0,5.0,720.0,1600.0,Yes,1,Android,15.0
Poco F7 5G,31999,83.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","12 GB RAM, 256 GB inbuilt","Snapdragon 8s Gen4, Octa Core, 3.2 GHz Processor","6.83 inches, 1280 x 2772 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 20 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,1,1,12,256,Snapdragon 8s Gen4,8.0,3.2,Octa,6.83,1280 x 2772,120.0,50.0,20.0,1280.0,2772.0,No,0,Android,15.0
Samsung Galaxy A35 5G,19990,82.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","8 GB RAM, 128 GB inbuilt","Exynos 1380, Octa Core, 2.4 GHz Processor","6.6 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 5 MP Triple Rear & 13 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,1,0,8,128,Exynos 1380,8.0,2.4,Octa,6.6,1080 x 2340,120.0,50.0,13.0,1080.0,2340.0,Yes,1,Android,14.0
Realme P3 Pro 5G,19999,79.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Snapdragon 7s Gen3, Octa Core, 2.5 GHz Processor","6.83 inches, 1272 x 2800 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 16 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,0,0,8,128,Snapdragon 7s Gen3,8.0,2.5,Octa,6.83,1272 x 2800,120.0,50.0,16.0,1272.0,2800.0,Yes,15,No,14.0
Xiaomi Redmi Note 14 Pro Plus,25282,83.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","8 GB RAM, 128 GB inbuilt","Snapdragon 7s Gen3, Octa Core, 2.5 GHz Processor","6.67 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 20 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,1,1,8,128,Snapdragon 7s Gen3,8.0,2.5,Octa,6.67,1220 x 2712,120.0,50.0,20.0,1220.0,2712.0,No,0,Android,14.0
Apple iPhone 16,72300,85.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","8 GB RAM, 128 GB inbuilt","Bionic A18, Hexa Core, 4.04 GHz Processor","6.1 inches, 1179 x 2556 px Display with Dynamic Island Display",48 MP + 12 MP Dual Rear & 12 MP Front Camera,iOS v18,Dual Sim,1,1,1,1,1,1,0,8,128,Bionic A18,6.0,4.04,Hexa,6.1,1179 x 2556,,48.0,12.0,1179.0,2556.0,No,0,iOS,18.0
