model,Price,Rating,SIM,RAM,Processor,Display,Camera,OS,SIM_Type,Supports_3G,Supports_4G,Supports_5G,VoLTE,WiFi,NFC,IR_Blaster,RAM_GB,Storage_GB,Chipset,Cores,ClockSpeed_GHz,Core_Word,Display_Size,Resolution,RefreshRate_Hz,Rear_Main_MP,Front_MP,Resolution_Width,Resolution_Height,Card_Support,Card_Capacity_GB,OS_Name,OS_Version
Realme Narzo 60 5G,15990,80.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Dimensity 6020, Octa Core, 2.2 GHz Processor","6.43 inches, 1080 x 2400 px, 90 Hz Display with Punch Hole",64 MP + 2 MP Dual Rear & 16 MP Front Camera,Android v13,Dual Sim,1,1,1,1,1,0,0,8,128,Dimensity 6020,8.0,2.2,Octa,6.43,1080 x 2400,90.0,64.0,16.0,1080.0,2400.0,Yes,1,Android,13.0
Saregama Carvaan Don M22 Punjabi,2090,79.44584647739222,Dual Sim,1500 mAh Battery,"32 MB RAM, 4 GB inbuilt",0.3 MP Rear Camera,"Memory Card Supported, upto 8 GB",Browser,Dual Sim,0,0,0,0,0,0,0,0,0,32 MB RAM,,,,,,,,,,,Yes,0,Browser,14.0
Tecno Phantom V Flip,34999,86.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","8 GB RAM, 256 GB inbuilt","Dimensity 8050, Octa Core, 3 GHz Processor","6.9 inches, 1080 x 2640 px, 144 Hz Display with Punch Hole","Foldable Display, Dual Display",Memory Card Not Supported,Dual Sim,1,1,1,1,1,1,0,8,256,Dimensity 8050,8.0,3.0,Octa,6.9,1080 x 2640,144.0,,,1080.0,2640.0,Yes,64,Memory,14.0
iQOO Neo 7 Pro,35126,81.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","8 GB RAM, 128 GB inbuilt","Snapdragon 8+ Gen1, Octa Core, 3.2 GHz Processor","6.78 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,0,1,8,128,Snapdragon 8+ Gen1,8.0,3.2,Octa,6.78,1080 x 2400,120.0,50.0,16.0,1080.0,2400.0,Yes,13,No,14.0
Motorola Razr 40,42999,87.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","8 GB RAM, 256 GB inbuilt","Snapdragon 7 Gen1, Octa Core, 2.4 GHz Processor","6.9 inches, 1080 x 2640 px, 144 Hz Display with Punch Hole","Foldable Display, Dual Display",Memory Card Not Supported,Dual Sim,1,1,1,1,1,1,0,8,256,Snapdragon 7 Gen1,8.0,2.4,Octa,6.9,1080 x 2640,144.0,,,1080.0,2640.0,Yes,64,Memory,14.0
Nokia 106 4G,2049,79.44584647739222,"Dual Sim, 3G, 4G, VoLTE",4 MB RAM,No Wifi,"1.8 inches, 120 x 160 px Display",No Rear Camera,Bluetooth,Dual Sim,1,1,0,1,0,0,0,0,0,No Wifi,,,,1.8,120 x 160,,,,120.0,160.0,Yes,32,Bluetooth,14.0
Nokia 110 4G 2023,2249,79.44584647739222,"Dual Sim, 3G, 4G, VoLTE","128 MB RAM, 48 MB inbuilt",No Wifi,"1.8 inches, 120 x 160 px Display",0.3 MP Rear Camera,Bluetooth,Dual Sim,1,1,0,1,0,0,0,0,0,No Wifi,,,,1.8,120 x 160,,3.0,,120.0,160.0,Yes,32,Bluetooth,14.0
Xiaomi Redmi Note 12 (8GB RAM + 256GB),16490,81.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","8 GB RAM, 256 GB inbuilt","Snapdragon 4 Gen 1, Octa Core, 2 GHz Processor","6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",48 MP + 8 MP + 2 MP Triple Rear & 13 MP Front Camera,Android v12,Dual Sim,1,1,1,1,1,0,1,8,256,Snapdragon 4 Gen 1,8.0,2.0,Octa,6.67,1080 x 2400,120.0,48.0,13.0,1080.0,2400.0,Yes,1,Android,12.0
Realme 12 5G,13999,76.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","6 GB RAM, 128 GB inbuilt","Dimensity 6100 Plus, Octa Core, 2.2 GHz Processor","6.72 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",108 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,0,0,6,128,Dimensity 6100 Plus,8.0,2.2,Octa,6.72,1080 x 2400,120.0,108.0,8.0,1080.0,2400.0,Yes,2,Android,14.0
Tecno Camon 20,13999,81.0,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","8 GB RAM, 256 GB inbuilt","Helio G85, Octa Core, 2 GHz Processor","6.67 inches, 1080 x 2400 px Display with Punch Hole",64 MP + 2 MP Triple Rear & 32 MP Front Camera,Android v13,Dual Sim,1,1,0,1,1,0,0,8,256,Helio G85,8.0,2.0,Octa,6.67,1080 x 2400,,64.0,32.0,1080.0,2400.0,Yes,1,Android,13.0
Vivo T2x 5G (8GB RAM + 128GB),14999,78.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Dimensity 6020, Octa Core, 2.2 GHz Processor","6.58 inches, 1080 x 2408 px Display with Water Drop Notch",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v13,Dual Sim,1,1,1,1,1,0,0,8,128,Dimensity 6020,8.0,2.2,Octa,6.58,1080 x 2408,,50.0,8.0,1080.0,2408.0,Yes,1,Android,13.0
Motorola Moto G32 (8GB RAM + 128GB),10999,77.0,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Snapdragon 680, Octa Core, 2.4 GHz Processor","6.55 inches, 1080 x 2400 px, 90 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v12,Dual Sim,1,1,0,1,1,0,0,8,128,Snapdragon 680,8.0,2.4,Octa,6.55,1080 x 2400,90.0,50.0,16.0,1080.0,2400.0,Yes,1,Android,12.0
Infinix Hot 30i,9499,74.0,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Helio G37, Octa Core, 2.3 GHz Processor","6.6 inches, 720 x 1612 px, 90 Hz Display with Water Drop Notch",50 MP Dual Rear & 8 MP Front Camera,Android v12,Dual Sim,1,1,0,1,1,0,0,8,128,Helio G37,8.0,2.3,Octa,6.6,720 x 1612,90.0,50.0,8.0,720.0,1612.0,Yes,1,Android,12.0
OnePlus 11 (16GB RAM + 256GB),61999,88.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","16 GB RAM, 256 GB inbuilt","Snapdragon 8 Gen2, Octa Core, 3.2 GHz Processor","6.7 inches, 1440 x 3216 px, 120 Hz Display with Punch Hole",50 MP + 48 MP + 32 MP Triple Rear & 16 MP Front Camera,Android v13,Dual Sim,1,1,1,1,1,1,0,16,256,Snapdragon 8 Gen2,8.0,3.2,Octa,6.7,1440 x 3216,120.0,50.0,16.0,1440.0,3216.0,No,0,Android,13.0
Vivo T2 5G,15999,77.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","6 GB RAM, 128 GB inbuilt","Snapdragon 695, Octa Core, 2.2 GHz Processor","6.38 inches, 1080 x 2400 px, 90 Hz Display with Water Drop Notch",64 MP + 2 MP Dual Rear & 16 MP Front Camera,Android v13,Dual Sim,1,1,1,1,1,0,0,6,128,Snapdragon 695,8.0,2.2,Octa,6.38,1080 x 2400,90.0,64.0,16.0,1080.0,2400.0,Yes,1,Android,13.0
Poco X5 Pro (8GB RAM + 256GB),19349,82.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","8 GB RAM, 256 GB inbuilt","Snapdragon 778G, Octa Core, 2.4 GHz Processor","6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",108 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v12,Dual Sim,1,1,1,1,1,0,1,8,256,Snapdragon 778G,8.0,2.4,Octa,6.67,1080 x 2400,120.0,108.0,16.0,1080.0,2400.0,No,0,Android,12.0
